frame,time_s,preview_found,float_found,tip_y,cx,cy,area
2445,40.806,0,0,0,0,0,0
2460,41.057,0,0,0,0,0,0
2475,41.307,0,0,0,0,0,0
2490,41.557,0,0,0,0,0,0
2505,41.808,0,1,700,1815,701,60
2520,42.058,0,0,0,0,0,0
2535,42.308,0,0,0,0,0,0
2550,42.559,0,0,0,0,0,0
2565,42.809,0,0,0,0,0,0
2580,43.059,0,0,0,0,0,0
2595,43.310,0,0,0,0,0,0
2610,43.560,0,0,0,0,0,0
2625,43.810,0,0,0,0,0,0
2640,44.061,0,0,0,0,0,0
2655,44.311,0,0,0,0,0,0
2670,44.562,0,0,0,0,0,0
2685,44.812,0,0,0,0,0,0
2700,45.062,0,0,0,0,0,0
2715,45.313,0,0,0,0,0,0
2730,45.563,0,0,0,0,0,0
2745,45.813,0,0,0,0,0,0
2760,46.064,0,0,0,0,0,0
2775,46.314,0,0,0,0,0,0
2790,46.564,0,0,0,0,0,0
2805,46.815,0,0,0,0,0,0
2820,47.065,0,0,0,0,0,0
2835,47.315,0,0,0,0,0,0
2850,47.566,0,0,0,0,0,0
2865,47.816,0,0,0,0,0,0
2880,48.066,0,0,0,0,0,0
2895,48.317,0,0,0,0,0,0
2910,48.567,0,0,0,0,0,0
2925,48.817,0,0,0,0,0,0
2940,49.068,0,0,0,0,0,0
2955,49.318,0,0,0,0,0,0
2970,49.568,0,0,0,0,0,0
2985,49.819,0,0,0,0,0,0
3000,50.069,0,0,0,0,0,0
3015,50.319,0,0,0,0,0,0
3030,50.570,0,0,0,0,0,0
3045,50.820,0,0,0,0,0,0
3060,51.070,0,0,0,0,0,0
3075,51.321,0,0,0,0,0,0
3090,51.571,0,0,0,0,0,0
3105,51.822,0,0,0,0,0,0
3120,52.072,0,0,0,0,0,0
3135,52.322,0,0,0,0,0,0
3150,52.573,0,0,0,0,0,0
3165,52.823,0,0,0,0,0,0
3180,53.073,0,0,0,0,0,0
3195,53.324,0,0,0,0,0,0
3210,53.574,0,0,0,0,0,0
3225,53.824,0,0,0,0,0,0
3240,54.075,0,0,0,0,0,0
3255,54.325,0,0,0,0,0,0
3270,54.575,0,0,0,0,0,0
3285,54.826,0,0,0,0,0,0
3300,55.076,0,0,0,0,0,0
3315,55.326,0,0,0,0,0,0
3330,55.577,0,0,0,0,0,0
3345,55.827,0,0,0,0,0,0
3360,56.077,0,0,0,0,0,0
3375,56.328,0,0,0,0,0,0
3390,56.578,0,0,0,0,0,0
3405,56.828,0,0,0,0,0,0
3420,57.079,0,0,0,0,0,0
3435,57.329,0,1,632,1840,633,66
3450,57.579,0,0,0,0,0,0
3465,57.830,0,0,0,0,0,0
3480,58.080,0,0,0,0,0,0
3495,58.331,0,0,0,0,0,0
3510,58.581,0,0,0,0,0,0
3525,58.831,0,0,0,0,0,0
3540,59.082,0,0,0,0,0,0
3555,59.332,0,0,0,0,0,0
3570,59.582,0,0,0,0,0,0
3585,59.833,0,0,0,0,0,0
3600,60.083,0,0,0,0,0,0
3615,60.333,0,0,0,0,0,0
3630,60.584,0,0,0,0,0,0
3645,60.834,0,0,0,0,0,0
3660,61.084,0,0,0,0,0,0
3675,61.335,0,1,680,1769,686,208
3690,61.585,0,1,691,1791,700,368
3705,61.835,0,1,709,1806,731,249
3720,62.086,0,1,716,1836,731,368
3735,62.336,0,1,730,1866,740,373
3750,62.586,0,1,745,1874,751,104
3765,62.837,0,0,0,0,0,0
3780,63.087,0,0,0,0,0,0
3795,63.337,0,0,0,0,0,0
3810,63.588,0,0,0,0,0,0
3825,63.838,0,0,0,0,0,0
3840,64.088,0,0,0,0,0,0
3855,64.339,0,0,0,0,0,0
3870,64.589,0,0,0,0,0,0
3885,64.839,0,0,0,0,0,0
3900,65.090,0,0,0,0,0,0
3915,65.340,0,0,0,0,0,0
3930,65.591,0,0,0,0,0,0
3945,65.841,0,0,0,0,0,0
3960,66.091,0,0,0,0,0,0
3975,66.342,0,1,635,1843,678,9780
3990,66.592,1,1,1018,1994,1149,12733
4005,66.842,1,1,879,2164,984,92
4020,67.093,1,1,542,2204,601,225
4035,67.343,0,1,694,1846,745,1652
4050,67.593,1,1,417,1725,429,330
4065,67.844,1,1,983,1969,986,29
