frame,time_s,preview_visible,float_found,tip_y,cx,cy,area
990,16.523,1,1,616,2391,664,1030
996,16.623,1,1,616,2391,664,1015
1002,16.723,1,1,616,2391,663,985
1008,16.823,1,1,616,2391,663,1030
1014,16.923,1,1,616,2391,664,1046
1020,17.023,1,1,616,2391,664,1045
1026,17.124,1,1,616,2391,665,1047
1032,17.224,1,1,616,2391,665,1075
1038,17.324,1,1,616,2391,665,1069
1044,17.424,1,1,616,2391,666,1057
1050,17.524,1,1,616,2391,664,1061
1056,17.624,1,1,616,2391,665,1076
1062,17.724,1,1,616,2391,665,1077
1068,17.825,1,1,616,2391,663,1022
1074,17.925,1,1,616,2392,661,999
1080,18.025,1,1,616,2390,664,1045
1086,18.125,1,1,616,2390,663,1036
1092,18.225,1,1,616,2390,663,1019
1098,18.325,1,1,616,2390,664,1036
1104,18.425,1,1,616,2390,663,1024
1110,18.526,1,1,616,2390,663,1025
1116,18.626,1,1,616,2390,662,1013
1122,18.726,1,1,616,2390,663,1020
1128,18.826,1,1,616,2391,664,1032
1134,18.926,1,1,616,2391,664,1039
1140,19.026,1,1,616,2391,663,1025
1146,19.126,1,1,616,2391,664,1038
1152,19.227,1,1,616,2391,663,1017
1158,19.327,1,1,616,2391,663,1006
1164,19.427,1,1,616,2391,663,1005
1170,19.527,1,1,616,2391,663,1009
1176,19.627,1,1,616,2391,663,976
1182,19.727,1,1,616,2391,662,962
1188,19.827,1,1,616,2391,663,1004
1194,19.928,1,1,616,2390,664,1016
1200,20.028,1,1,616,2390,663,989
1206,20.128,1,1,616,2390,663,961
1212,20.228,1,1,616,2390,664,1022
1218,20.328,1,1,616,2390,664,993
1224,20.428,1,1,616,2390,664,986
1230,20.528,1,1,616,2390,664,1010
1236,20.628,1,1,616,2391,662,972
1242,20.729,1,1,618,2391,663,937
1248,20.829,1,1,616,2391,661,946
1254,20.929,1,1,616,2391,661,939
1260,21.029,1,1,616,2391,661,931
1266,21.129,1,1,616,2391,661,943
1272,21.229,1,1,616,2391,662,964
1278,21.329,1,1,616,2391,661,927
1284,21.430,1,1,616,2391,661,960
1290,21.530,1,1,616,2391,662,959
1296,21.630,1,1,616,2391,661,952
1302,21.730,1,1,616,2391,661,968
1308,21.830,1,1,616,2390,663,1034
